corpus,file,extension,size_bytes,entropy_bits_per_byte
D1,Capture d'écran 2025-10-12 042433.png,.png,100507,7.9831
D1,Capture d'écran 2025-10-12 043026.png,.png,28505,7.9857
D1,Capture d'écran 2025-10-12 043239.png,.png,36155,7.984
D1,Capture d'écran 2025-10-12 043455.png,.png,30006,7.985
D1,Capture d'écran 2025-10-12 071241.png,.png,233888,7.9658
D1,Capture d'écran 2025-10-14 044258.png,.png,30186,7.9776
D1,Capture d'écran 2025-10-18 001921.png,.png,12559,7.7576
D1,Capture d'écran 2025-10-21 011831.png,.png,20806,7.9654
D1,Capture d'écran 2025-10-24 082107.png,.png,18666,7.9761
D1,Capture d'écran 2025-10-24 082601.png,.png,50845,7.9675
D1,Capture d'écran 2025-10-28 112436.png,.png,31883,7.9252
D1,Capture d'écran 2025-10-29 061440.png,.png,6369,7.9289
D1,Capture d'écran 2025-10-29 125943.png,.png,118049,7.9822
D1,Capture d'écran 2025-10-29 130115.png,.png,124598,7.9878
D1,Capture d'écran 2025-11-01 030907.png,.png,6439,7.9425
D1,Capture d'écran 2025-11-01 035613.png,.png,84371,7.981
D1,Capture d'écran 2025-11-03 122546.png,.png,19714,7.983
D1,Capture d'écran 2025-11-03 142251.png,.png,66467,7.9761
D1,Capture d'écran 2025-11-04 100943.png,.png,42286,7.9277
D1,Capture d'écran 2025-11-04 114336.png,.png,287889,7.9865
D1,Capture d'écran 2025-11-06 145754.png,.png,69473,7.9858
D1,Capture d'écran 2025-12-10 114832.png,.png,74435,7.9781
D1,Capture d'écran 2025-12-11 132145.png,.png,8259,7.9272
D1,Capture d'écran 2026-01-03 123727.png,.png,31106,7.9266
D1,Capture d'écran 2026-01-03 132427.png,.png,36753,7.9792
D1,Capture d'écran 2026-01-03 133453.png,.png,36108,7.97
D1,Capture d'écran 2026-01-13 131000.png,.png,54969,7.9698
D1,Capture d'écran 2026-01-14 054338.png,.png,86725,7.9804
D1,Capture d'écran 2026-03-10 152058.png,.png,121595,7.9772
D1,Capture d'écran 2026-05-02 151002.png,.png,115578,7.9219
D1,Capture d'écran 2026-05-02 151256.png,.png,39850,7.8378
