corpus,config,kem,replicate,seed,file,extension,family,route,size_bytes,payload_bytes,cipher_bytes,entropy_bits_per_byte,t_io_ms,t_entropy_ms,t_compress_ms,t_kem_keygen_ms,t_kem_encaps_ms,t_kem_decaps_ms,t_kdf_ms,t_aes_encrypt_ms,t_aes_decrypt_ms,t_total_ms,verified,timestamp
D3,B,python,0,20260801,d3_000229.bin,.bin,high,none,34953719,34953719,34953735,7.9973,20.1595,0.0005,0.0008,8.3212,10.3288,13.2061,0.0606,28.3193,0.0,83.8939,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000230.bin,.bin,high,none,30577647,30577647,30577663,7.9971,18.0795,0.0005,0.0008,7.6413,5.5997,7.3345,0.0541,8.7873,0.0,49.7874,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000231.bin,.bin,high,none,54155296,54155296,54155312,7.9972,30.2139,0.0004,0.0009,4.5611,5.6167,7.2381,0.0543,32.9784,0.0,82.7283,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000232.bin,.bin,high,none,48362639,48362639,48362655,7.9975,26.3466,0.0004,0.0005,4.5781,5.6421,7.3204,0.0548,29.815,0.0,75.8371,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000233.bin,.bin,high,none,77700879,77700879,77700895,7.9972,43.3156,0.0004,0.0006,4.5754,5.6142,7.3149,0.0597,46.333,0.0,109.3053,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000234.bin,.bin,high,none,54261182,54261182,54261198,7.9971,29.1105,0.0007,0.0006,4.7384,5.7018,7.4501,0.0584,32.8386,0.0,81.9736,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000235.bin,.bin,high,none,53400845,53400845,53400861,7.9972,28.7961,0.0004,0.0007,4.5437,5.5528,7.3097,0.059,32.137,0.0,80.4564,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000236.bin,.bin,high,none,51313912,51313912,51313928,7.9973,27.2335,0.0004,0.0007,4.5884,5.5964,7.3303,0.0527,31.046,0.0,77.9085,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000237.bin,.bin,high,none,46412496,46412496,46412512,7.9971,24.8018,0.0008,0.0005,4.6295,5.5963,8.1626,0.0533,28.0332,0.0,73.3567,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000238.bin,.bin,high,none,24749934,24749934,24749950,7.9969,13.9498,0.0004,0.0006,4.6473,5.5739,7.3414,0.0531,6.772,0.0,40.4012,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000239.bin,.bin,high,none,48620920,48620920,48620936,7.9976,26.4032,0.0004,0.0007,4.5346,5.6002,7.2792,0.0509,29.3192,0.0,75.2665,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000240.bin,.bin,high,none,41443314,41443314,41443330,7.9968,23.5074,0.0004,0.0007,4.531,5.5354,7.2695,0.055,24.9986,0.0,67.9401,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000241.bin,.bin,high,none,46942223,46942223,46942239,7.9975,25.1008,0.0004,0.0005,4.5433,5.5406,7.7139,0.0499,28.2531,0.0,73.2855,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000242.bin,.bin,high,none,66524214,66524214,66524230,7.9976,38.0013,0.0003,0.0009,4.5049,5.5067,7.3102,0.05,39.2583,0.0,96.6714,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000243.bin,.bin,high,none,52861439,52861439,52861455,7.9968,29.4073,0.0005,0.0015,4.6725,6.5921,7.6831,0.0493,31.7553,0.0,82.2346,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000244.bin,.bin,high,none,51986951,51986951,51986967,7.9973,29.1721,0.0003,0.0008,4.5295,5.551,7.2638,0.0512,32.2502,0.0,80.8691,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000245.bin,.bin,high,none,42599704,42599704,42599720,7.9969,23.2863,0.0007,0.0005,4.526,5.6156,7.2978,0.0504,25.8652,0.0,68.7333,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000246.bin,.bin,high,none,77521884,77521884,77521900,7.9973,45.6196,0.0003,0.0006,4.654,5.7666,9.7189,0.0637,55.5856,0.0,124.4434,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000247.bin,.bin,high,none,84021228,84021228,84021244,7.9974,49.91,0.0008,0.0008,4.6797,5.6769,7.4048,0.0512,49.619,0.0,119.4292,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000248.bin,.bin,high,none,66660381,66660381,66660397,7.997,38.4425,0.0004,0.0008,4.7752,5.6252,7.437,0.0603,40.1703,0.0,98.8082,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000249.bin,.bin,high,none,63133520,63133520,63133536,7.9969,36.1718,0.0007,0.001,7.0031,7.808,7.3185,0.0533,39.1872,0.0,99.6771,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000250.bin,.bin,high,none,71808545,71808545,71808561,7.997,40.0452,0.0005,0.0006,4.6011,5.7912,7.4793,0.0544,45.7459,0.0,105.8041,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000251.bin,.bin,high,none,68533408,68533408,68533424,7.997,36.2543,0.0006,0.0006,4.5458,5.6889,7.6787,0.0538,40.6782,0.0,97.0047,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000252.bin,.bin,high,none,26584306,26584306,26584322,7.9972,14.3585,0.0005,0.0008,4.6062,5.5462,7.3389,0.0524,7.4178,0.0,41.4196,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000253.bin,.bin,high,none,28594858,28594858,28594874,7.9968,15.6521,0.0004,0.0005,4.5613,5.579,7.2728,0.0601,7.9133,0.0,43.0976,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000254.bin,.bin,high,none,72155316,72155316,72155332,7.997,41.5152,0.0004,0.0006,4.5296,5.7007,7.3233,0.0513,42.7683,0.0,103.9816,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000255.bin,.bin,high,none,45108039,45108039,45108055,7.9972,24.4431,0.0004,0.0008,4.5344,5.5951,7.3077,0.054,27.3433,0.0,71.3448,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000256.bin,.bin,high,none,46779385,46779385,46779401,7.9971,24.4944,0.0003,0.0006,4.5383,5.5748,7.2585,0.0523,29.1304,0.0,73.1403,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000257.bin,.bin,high,none,61876224,61876224,61876240,7.997,36.8938,0.0005,0.0006,5.2903,8.4749,13.5512,0.0645,49.5397,0.0,117.563,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000258.bin,.bin,high,none,45381734,45381734,45381750,7.997,25.2624,0.0005,0.0005,4.5754,5.5904,7.358,0.0543,27.3368,0.0,72.239,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000259.bin,.bin,high,none,71437230,71437230,71437246,7.9973,44.7839,0.0003,0.0006,4.5856,5.5172,7.2478,0.0557,44.6303,0.0,108.8781,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000260.bin,.bin,high,none,74327318,74327318,74327334,7.9972,46.2347,0.0006,0.0006,4.556,5.5621,7.2572,0.0539,44.1437,0.0,109.8989,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000261.bin,.bin,high,none,22728679,22728679,22728695,7.9972,12.9581,0.0008,0.0005,4.5229,5.5646,7.2676,0.0532,5.9862,0.0,38.4268,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000262.bin,.bin,high,none,27673505,27673505,27673521,7.9973,15.1527,0.0006,0.0006,4.559,5.5726,7.3151,0.0532,8.7345,0.0,43.4589,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000263.bin,.bin,high,none,82086866,82086866,82086882,7.9974,45.0067,0.0007,0.0006,4.5376,5.5482,7.2861,0.0491,49.4646,0.0,119.4157,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000264.bin,.bin,high,none,50084064,50084064,50084080,7.9975,27.264,0.0004,0.0005,4.5547,5.524,7.2304,0.0509,29.8878,0.0,76.5656,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000265.bin,.bin,high,none,40663529,40663529,40663545,7.9972,21.7561,0.0061,0.0007,4.5505,5.534,7.2384,0.0497,24.2269,0.0,65.4154,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000266.bin,.bin,high,none,59630696,59630696,59630712,7.997,32.3177,0.0004,0.0006,4.5201,5.539,7.2331,0.051,35.7134,0.0,87.3965,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000267.bin,.bin,high,none,22851992,22851992,22852008,7.9968,12.0854,0.0004,0.0005,4.5359,5.5764,7.2378,0.0556,6.1211,0.0,37.6786,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000268.bin,.bin,high,none,75022176,75022176,75022192,7.9973,43.2443,0.0005,0.0008,4.5883,5.5362,7.2524,0.0523,44.5885,0.0,107.3639,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000269.bin,.bin,high,none,24666552,24666552,24666568,7.9975,13.6852,0.0004,0.0005,4.5523,5.5949,7.2837,0.0524,6.9446,0.0,40.1789,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000270.bin,.bin,high,none,24615945,24615945,24615961,7.9967,14.1124,0.0004,0.0008,4.5333,5.5199,7.6176,0.0494,7.1604,0.0,41.0834,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000271.bin,.bin,high,none,24832041,24832041,24832057,7.9974,14.0764,0.0004,0.0009,4.551,5.6071,7.3446,0.0569,6.9691,0.0,40.7145,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000272.bin,.bin,high,none,79996369,79996369,79996385,7.9971,47.4925,0.0004,0.0008,4.6899,5.629,7.3774,0.0542,48.4811,0.0,115.8561,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000273.bin,.bin,high,none,59274371,59274371,59274387,7.997,32.8103,0.0004,0.0009,4.6287,5.6228,7.3926,0.0567,38.7198,0.0,91.3755,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000274.bin,.bin,high,none,26043545,26043545,26043561,7.9976,14.7049,0.0006,0.0007,4.6433,5.6004,7.3451,0.0563,7.8339,0.0,42.2658,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000275.bin,.bin,high,none,56388571,56388571,56388587,7.9973,30.5941,0.0004,0.0006,4.5979,5.6071,7.4785,0.0545,34.7112,0.0,85.1456,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000276.bin,.bin,high,none,34979426,34979426,34979442,7.9975,19.0852,0.0004,0.0005,4.6557,5.6712,7.382,0.0535,21.4928,0.0,60.4391,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000277.bin,.bin,high,none,44258505,44258505,44258521,7.9977,25.1132,0.0004,0.0004,4.564,5.604,7.2856,0.0531,28.8595,0.0,73.5913,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000278.bin,.bin,high,none,25230186,25230186,25230202,7.997,13.9773,0.0005,0.0007,4.6013,6.545,7.3355,0.0528,7.0664,0.0,41.6427,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000279.bin,.bin,high,none,52574814,52574814,52574830,7.9973,29.4608,0.0008,0.0004,4.7018,5.7935,7.5305,0.0583,33.4218,0.0,83.0581,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000280.bin,.bin,high,none,30974285,30974285,30974301,7.9971,17.5453,0.0004,0.0005,4.6285,5.7382,7.5541,0.055,9.7003,0.0,47.3288,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000281.bin,.bin,high,none,43683124,43683124,43683140,7.9975,25.0604,0.0004,0.0006,4.6458,5.8119,7.5882,0.0558,28.0021,0.0,73.2875,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000282.bin,.bin,high,none,55755916,55755916,55755932,7.9975,31.4526,0.0004,0.0007,4.7393,5.8623,7.4564,0.0581,34.9402,0.0,86.865,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000283.bin,.bin,high,none,28154240,28154240,28154256,7.9969,15.8803,0.0005,0.0008,7.1775,8.9012,12.6344,0.0704,10.5836,0.0,59.312,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000284.bin,.bin,high,none,24690836,24690836,24690852,7.9972,15.1911,0.0004,0.0006,4.7996,5.9521,7.3858,0.0553,7.4828,0.0,42.9488,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000285.bin,.bin,high,none,52908635,52908635,52908651,7.9972,29.3819,0.0005,0.0006,4.5573,5.6711,7.3133,0.0538,32.2617,0.0,81.34,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000286.bin,.bin,high,none,42182295,42182295,42182311,7.9972,23.0647,0.0004,0.0007,4.5021,5.5376,7.2256,0.0525,26.5041,0.0,68.9485,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000287.bin,.bin,high,none,52748320,52748320,52748336,7.9966,28.7612,0.0005,0.001,4.4994,5.552,7.2466,0.0537,31.9727,0.0,80.1547,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000288.bin,.bin,high,none,57648961,57648961,57648977,7.9974,32.7429,0.0007,0.001,8.4351,10.1982,7.6515,0.0523,35.341,0.0,96.5028,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000289.bin,.bin,high,none,32012074,32012074,32012090,7.997,17.8095,0.0004,0.0008,4.5851,5.6013,7.615,0.0618,9.5822,0.0,47.3743,,2026-08-13T11:05:56
